Day Count,Date,Alberta Health Services Zone,Case Count,Death Count
43,4/17/2020,North Zone,121,13
43,4/17/2020,South Zone,73,0
43,4/17/2020,Unknown,4,0
44,4/18/2020,Calgary Zone,1588,52
44,4/18/2020,Central Zone,66,0
44,4/18/2020,Edmonton Zone,402,11
44,4/18/2020,North Zone,122,13
44,4/18/2020,South Zone,113,0
44,4/18/2020,Unknown,4,0
45,4/19/2020,Calgary Zone,1731,57
45,4/19/2020,Central Zone,67,0
45,4/19/2020,Edmonton Zone,408,11
45,4/19/2020,North Zone,127,14
45,4/19/2020,South Zone,148,0
45,4/19/2020,Unknown,4,0
46,4/20/2020,Calgary Zone,1881,63
46,4/20/2020,Central Zone,67,0
46,4/20/2020,Edmonton Zone,420,11
46,4/20/2020,North Zone,135,14
46,4/20/2020,South Zone,199,1
46,4/20/2020,Unknown,5,0
47,4/21/2020,Calgary Zone,1998,65
47,4/21/2020,Central Zone,69,0
47,4/21/2020,Edmonton Zone,425,11
47,4/21/2020,North Zone,140,14
47,4/21/2020,South Zone,293,1
47,4/21/2020,Unknown,5,0
48,4/22/2020,Calgary Zone,2165,68
48,4/22/2020,Central Zone,69,0
48,4/22/2020,Edmonton Zone,429,12
48,4/22/2020,North Zone,146,14
48,4/22/2020,South Zone,348,1
48,4/22/2020,Unknown,5,0
49,4/23/2020,Calgary Zone,2392,70
49,4/23/2020,Central Zone,71,0
49,4/23/2020,Edmonton Zone,437,13
49,4/23/2020,North Zone,153,14
49,4/23/2020,South Zone,438,5
49,4/23/2020,Unknown,8,0
50,4/24/2020,Calgary Zone,2631,72
50,4/24/2020,Central Zone,71,0
50,4/24/2020,Edmonton Zone,449,13
50,4/24/2020,North Zone,163,14
50,4/24/2020,South Zone,497,5
50,4/24/2020,Unknown,8,0
51,4/25/2020,Calgary Zone,2789,76
51,4/25/2020,Central Zone,71,0
51,4/25/2020,Edmonton Zone,457,13
51,4/25/2020,North Zone,170,14
51,4/25/2020,South Zone,574,6
51,4/25/2020,Unknown,8,0
52,4/26/2020,Calgary Zone,2927,78
52,4/26/2020,Central Zone,73,0
52,4/26/2020,Edmonton Zone,461,13
52,4/26/2020,North Zone,185,14
52,4/26/2020,South Zone,632,6
52,4/26/2020,Unknown,9,0
53,4/27/2020,Calgary Zone,3052,79
53,4/27/2020,Central Zone,73,0
53,4/27/2020,Edmonton Zone,463,13
53,4/27/2020,North Zone,193,14
53,4/27/2020,South Zone,687,6
53,4/27/2020,Unknown,9,0
54,4/28/2020,Calgary Zone,3168,82
54,4/28/2020,Central Zone,73,0
54,4/28/2020,Edmonton Zone,466,13
54,4/28/2020,North Zone,196,14
54,4/28/2020,South Zone,801,7
54,4/28/2020,Unknown,11,0
55,4/29/2020,Calgary Zone,3307,85
55,4/29/2020,Central Zone,73,0
55,4/29/2020,Edmonton Zone,469,13
55,4/29/2020,North Zone,200,14
55,4/29/2020,South Zone,923,8
55,4/29/2020,Unknown,11,0
56,4/30/2020,Calgary Zone,3415,86
56,4/30/2020,Central Zone,73,0
56,4/30/2020,Edmonton Zone,474,13
56,4/30/2020,North Zone,205,15
56,4/30/2020,South Zone,1053,8
56,4/30/2020,Unknown,11,0
57,5/1/2020,Calgary Zone,3503,88
57,5/1/2020,Central Zone,74,0
57,5/1/2020,Edmonton Zone,475,13
57,5/1/2020,North Zone,207,15
57,5/1/2020,South Zone,1079,8
